owner,type,kind,variant,tag,version,exact_fields,wire_value,local_validator,equality_law
ca.rules,ClauseKernelDenotation,frozen-dataclass,record,ca.rules.clause-kernel-denotation,1,clauses|selection|completeness_evidence|version,,ClauseKernelDenotation.__post_init__,structural-fields
ca.rules,ParallelDenotation,frozen-dataclass,record,ca.rules.parallel-denotation,1,parts,,ParallelDenotation.__post_init__,structural-fields
ca.rules,RuleDescriptor,frozen-dataclass,record,ca.rules.rule-descriptor,1,primitive|denotation|version,,RuleDescriptor.__post_init__,structural-fields
ca.rules,RuleFaultPhase,enum-member,DENOTATION,ca.rules.rule-fault-phase,1,value,rule-denotation,Enum.__call__,enum-member
ca.rules,RuleFaultPhase,enum-member,RESULT_VALIDATION,ca.rules.rule-fault-phase,1,value,result-validation,Enum.__call__,enum-member
ca.rules,RuleFaultPhase,enum-member,COMPOSITION,ca.rules.rule-fault-phase,1,value,composition,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,INVALID_DESCRIPTOR,ca.rules.rule-fault-reason,1,value,invalid-descriptor,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,INCOMPATIBLE_READ_VIEW,ca.rules.rule-fault-reason,1,value,incompatible-read-view,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,INCOMPATIBLE_WRITABLE,ca.rules.rule-fault-reason,1,value,incompatible-writable,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,EVALUATION_FAILURE,ca.rules.rule-fault-reason,1,value,evaluation-failure,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,NO_MATCHING_CLAUSE,ca.rules.rule-fault-reason,1,value,no-matching-clause,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,INCOMPLETE_DISPOSITION,ca.rules.rule-fault-reason,1,value,incomplete-disposition,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,UNAUTHORIZED_EFFECT,ca.rules.rule-fault-reason,1,value,unauthorized-effect,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,CONFLICTING_EFFECT,ca.rules.rule-fault-reason,1,value,conflicting-effect,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,INVALID_PROBABILITY_LAW,ca.rules.rule-fault-reason,1,value,invalid-probability-law,Enum.__call__,enum-member
ca.rules,RuleFaultReason,enum-member,UNSUPPORTED_EXACTNESS,ca.rules.rule-fault-reason,1,value,unsupported-exactness,Enum.__call__,enum-member
ca.rules,RuleFault,frozen-dataclass,record,ca.rules.rule-fault,1,phase|reason|evidence|detail|version,,RuleFault.__post_init__,structural-fields
ca.rules,RuleRejected,frozen-dataclass,record,ca.rules.rule-rejected,1,fault,,RuleRejected.__post_init__,structural-fields
ca.rules,RuleComplete,frozen-dataclass,record,ca.rules.rule-complete,1,outcome_space,,RuleComplete.__post_init__,structural-fields
ca.rules,Rule,frozen-dataclass,record,ca.rules.rule,1,descriptor|contract,,Rule.__post_init__,structural-fields
ca.rules,EvaluationStep,frozen-dataclass,record,ca.rules.evaluation-step,1,expression|anchor|result|read_evidence|version,,EvaluationStep.__post_init__,structural-fields
ca.rules,EvaluationProof,frozen-dataclass,record,ca.rules.evaluation-proof,1,steps|version,,EvaluationProof.__post_init__,structural-fields
ca.program,CompatibilityEvidence,frozen-dataclass,record,ca.program.compatibility-evidence,1,configuration_contract|value_profile|clauses,,_require_compatible_five_fields,structural-fields
ca.program,SimpleProgram,frozen-dataclass,record,ca.simple-program,1,seed|alphabet|frontier|neighborhood|rule,,SimpleProgram.__post_init__,structural-fields
ca.program,ApplicationPhase,enum-member,PROGRAM,ca.program.application-phase,1,value,program,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,INPUT,ca.program.application-phase,1,value,input,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,FRONTIER,ca.program.application-phase,1,value,frontier,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,NEIGHBORHOOD,ca.program.application-phase,1,value,neighborhood,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,JOIN,ca.program.application-phase,1,value,join,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,RULE_DENOTATION,ca.program.application-phase,1,value,rule-denotation,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,RESULT_VALIDATION,ca.program.application-phase,1,value,result-validation,Enum.__call__,enum-member
ca.program,ApplicationPhase,enum-member,FRESH_BINDING,ca.program.application-phase,1,value,fresh-binding,Enum.__call__,enum-member
